type,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
0,0.071,0.555,0.456,1.345,1.065,0.754,1.112,1.088,0.88,0.408,0.712,0.117,-0.445,-1.164,-0.37,-0.88,-0.971,-0.717,-0.72,-0.688,-0.431,-0.265,-0.236,-0.597
0,0.445,0.483,0.66,0.425,0.822,1.125,1.374,0.835,0.823,0.484,-0.154,-0.124,-0.377,-0.518,-0.377,-0.637,-1.015,-1.076,-0.757,-0.699,-0.914,-0.712,-0.149,0.231
0,0.225,0.764,0.827,0.682,1.068,0.661,1.396,1.46,0.597,0.187,0.43,-0.041,0.462,-0.512,-0.5,-0.858,-1.189,-0.943,-1.507,-0.426,-0.661,0.152,-0.116,-0.213
0,0.442,0.22,0.331,0.953,0.833,1,0.988,0.689,0.537,0.459,0.612,-0.457,-0.081,-0.4,-0.388,-0.957,-0.855,-0.92,-1.129,-0.504,-0.359,-0.29,0.217,0.168
0,-0.124,0.328,0.34,0.724,0.78,1.013,0.693,0.913,0.511,1.03,0.474,0.273,-0.144,0.005,-0.898,-1.005,-0.536,-1.195,-1.028,-0.984,-0.803,-0.584,-0.111,-0.053
0,0.107,0.903,0.643,0.812,0.936,1.214,0.944,0.855,0.503,0.403,0.277,-0.177,-0.099,-0.956,-0.615,-1.327,-1.056,-1.158,-1.162,-0.883,-1.281,-0.147,-0.758,-0.139
0,-0.076,0.275,1.333,0.871,0.58,0.508,1.101,0.86,0.612,0.221,-0.187,-0.323,0.041,-0.686,-1.122,-0.305,-0.838,-1.072,-0.648,-0.6,-0.893,0.162,-0.335,-0.427
0,0.215,0.562,1.4,0.898,1.103,0.977,0.866,0.856,0.943,1.123,0.567,0.362,-0.628,-0.205,-0.641,-1.306,-0.81,-1.048,-0.527,-1.096,-0.836,-0.778,-0.312,0.121
0,0.039,0.749,0.345,0.552,1.398,0.695,1.09,0.752,0.83,1.007,0.735,-0.099,-0.944,0.249,-0.507,-0.704,-0.97,-0.847,-1.015,-0.74,-0.827,-0.911,0.038,0.456
0,0.166,0.124,0.9,0.853,0.446,1.001,0.777,0.764,0.36,1.041,0.159,-0.482,-0.2,-0.421,-1.003,-1.733,-1.158,-0.829,-0.984,-0.895,-0.539,-0.856,0.07,-0.002
0,0.471,0.81,0.774,0.602,1.315,0.4,0.802,0.789,0.657,0.806,0.3,0.122,-0.28,-0.574,-0.498,-0.522,-1.687,-0.828,-0.854,-0.994,-0.422,-0.617,-0.344,0.257
0,0.775,0.581,0.58,0.509,0.867,0.718,0.888,0.984,0.452,1.295,0.306,0.339,-0.946,-0.278,-1.102,-0.59,-0.846,-1.122,-0.569,-1.076,-0.881,-0.8,-0.459,0.284
